,Park_Name,Park_Code,state,Lat,Long,designation,activities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
266,Little Bighorn Battlefield National Monument,libi,MT,45.55633048,-107.4183614,National Monument,"['Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Little River Canyon National Preserve,liri,AL,34.41461863,-85.61734327,National Preserve,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Mountain Biking', 'Road Biking', 'Climbing', 'Rock Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Picnicking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Biking,Mountain Biking,Road Biking,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Shopping,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Little Rock Central High School National Historic Site,chsc,AR,34.7369465,-92.29987899,National Historic Site,"['Arts and Culture', 'Live Music', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Live Music,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Longfellow House Washington's Headquarters National Historic Site,long,MA,42.37698854,-71.12636956,National Historic Site,"['Arts and Culture', 'Live Music', 'Guided Tours', 'Hands-On', 'Arts and Crafts', 'Junior Ranger Program', 'Museum Exhibits']",Arts and Culture,Live Music,Guided Tours,Hands-On,Arts and Crafts,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Lowell National Historical Park,lowe,MA,42.6455371,-71.31588673,National Historical Park,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Boating', 'Boat Tour', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hands-On', 'Arts and Crafts', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Boating,Boat Tour,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hands-On,Arts and Crafts,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Lower Delaware National Wild and Scenic River,lode,"PA,NJ",40.4000389,-74.983737,National Wild and Scenic River,"['Auto and ATV', 'Scenic Driving', 'Boating', 'Camping', 'Fishing', 'Food', 'Picnicking', 'Hiking', 'Paddling', 'Junior Ranger Program']",Auto and ATV,Scenic Driving,Boating,Camping,Fishing,Food,Picnicking,Hiking,Paddling,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Lower East Side Tenement Museum National Historic Site,loea,NY,40.7187683,-73.99001245,National Historic Site,"['Guided Tours', 'Living History', 'First Person Interpretation', 'Shopping', 'Gift Shop and Souvenirs']",Guided Tours,Living History,First Person Interpretation,Shopping,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Lyndon B Johnson National Historical Park,lyjo,TX,30.2519655,-98.60692433,National Historical Park,"['Guided Tours', 'Self-Guided Tours - Auto', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Self-Guided Tours - Auto,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Maggie L Walker National Historic Site,mawa,VA,37.54781499,-77.43746979,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Self-Guided Tours - Walking,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Maine Acadian Culture,maac,ME,47.25102114,-68.59447532,,"['Arts and Culture', 'Fishing', 'Food', 'Museum Exhibits']",Arts and Culture,Fishing,Food,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Mammoth Cave National Park,maca,KY,37.19760458,-86.13090198,National Park,"['Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'Caving', 'Fishing', 'Freshwater Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Caving,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,
277,Manassas National Battlefield Park,mana,VA,38.81710063,-77.5353468,National Battlefield Park,"['Fishing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",Fishing,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Living History,Junior Ranger Program,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Manhattan Project National Historical Park,mapr,"NM,WA,TN",35.88096,-106.30214,National Historical Park,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']",Guided Tours,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Manzanar National Historic Site,manz,CA,36.72559195,-118.1547177,National Historic Site,"['Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Biking,Road Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Marsh - Billings - Rockefeller National Historical Park,mabi,VT,43.63348732,-72.53424638,National Historical Park,"['Arts and Culture', 'Craft Demonstrations', 'Compass and GPS', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Arts and Crafts', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Craft Demonstrations,Compass and GPS,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Arts and Crafts,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,
281,"Martin Luther King, Jr. Memorial",mlkm,DC,38.8862276865,-77.0442195534,,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,"Martin Luther King, Jr. National Historical Park",malu,GA,33.75618241,-84.37256768,National Historical Park,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Guided Tours,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Martin Van Buren National Historic Site,mava,NY,42.36819596,-73.70834257,National Historic Site,"['Arts and Culture', 'Compass and GPS', 'Geocaching', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Compass and GPS,Geocaching,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Mary McLeod Bethune Council House National Historic Site,mamc,DC,38.90819107,-77.03096742,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Medgar and Myrlie Evers Home National Monument,memy,MS,32.34096274,-90.21264553,National Monument,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Mesa Verde National Park,meve,CO,37.23908345,-108.4624032,National Park,"['Auto and ATV', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Astronomy,Stargazing,Biking,Road Biking,Camping,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Mill Springs Battlefield National Monument,misp,KY,37.068815860168,-84.7375361304372,National Monument,"['Guided Tours', 'Self-Guided Tours - Auto', 'Museum Exhibits']",Guided Tours,Self-Guided Tours - Auto,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Minidoka National Historic Site,miin,"ID,WA",42.80586068,-114.4449868,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Museum Exhibits']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Minute Man National Historical Park,mima,MA,42.4562778,-71.30738884,National Historical Park,"['Guided Tours', 'Hiking', 'Front-Country Hiking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Hiking,Front-Country Hiking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Minuteman Missile National Historic Site,mimi,SD,43.89558013,-102.0272131,National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Mississippi National River and Recreation Area,miss,MN,44.942487,-93.098712,National River and Recreation Area,"['Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Hunting', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits']",Biking,Mountain Biking,Road Biking,Boating,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Paddling,Canoeing,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Wildlife Watching,Birdwatching,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Missouri National Recreational River,mnrr,"SD,NE",42.7882189,-97.59077822,National Recreational River,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Hunting', 'Living History', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Playground', 'Skiing', 'Cross-Country Skiing', 'Swimming', 'Pool Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Living History,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Playground,Skiing,Cross-Country Skiing,Swimming,Pool Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,
293,Mojave National Preserve,moja,CA,35.12485941,-115.5168258,National Preserve,"['Auto and ATV', 'Auto Off-Roading', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Food', 'Picnicking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Auto Off-Roading,Scenic Driving,Astronomy,Stargazing,Biking,Mountain Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Food,Picnicking,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,
294,Monocacy National Battlefield,mono,MD,39.36084236,-77.39637677,National Battlefield,"['Auto and ATV', 'Scenic Driving', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Living History', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Living History,Historic Weapons Demonstration,First Person Interpretation,Paddling,Canoeing,Kayaking,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Montezuma Castle National Monument,moca,AZ,34.62237771,-111.8147857,National Monument,"['Arts and Culture', 'Astronomy', 'Camping', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Astronomy,Camping,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Moores Creek National Battlefield,mocr,NC,34.45820776,-78.11031134,National Battlefield,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Fishing', 'Guided Tours', 'Living History', 'Historic Weapons Demonstration', 'Paddling', 'Canoeing', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Fishing,Guided Tours,Living History,Historic Weapons Demonstration,Paddling,Canoeing,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Mormon Pioneer National Historic Trail,mopi,"IL,IA,NE,UT,WY",41.2650321741355,-101.84083755965,National Historic Trail,"['Auto and ATV', 'Scenic Driving', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Museum Exhibits']",Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Auto,Hiking,Horse Trekking,Horseback Riding,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Morristown National Historical Park,morr,NJ,40.7650755,-74.53455122,National Historical Park,"['Arts and Culture', 'Craft Demonstrations', 'Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Craft Demonstrations,Biking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
